gvkey,datadate,ticker,cusip,conm,saleq,revtq,cogsq,xsgaq,oiadpq,txtq,piq,atq,gross_margin,marketing_effi,roic,adj_price,rev_growth_yoy
065904,2011-03-31,AMCC,03822W406,APPLIED MICRO CIRCUITS CORP,58.583,58.583,20.405,38.665,-7.271,-0.047,-4.058,308.657,0.6516907635320827,1.5151428940902625,1.7710169642208675,10.38,0.016889428918590577
065739,2011-03-31,PSEM,713831105,PERICOM SEMICONDUCTOR CORP,39.555,39.555,24.435,12.47,-0.105,0.514,1.046,295.726,0.3822525597269625,3.1720128307939053,-0.051054915566539565,10.37,0.0789394724639263
006008,2011-03-31,INTC,458140100,INTEL CORP,12847.0,12847.0,3180.0,3691.0,4534.0,1211.0,4371.0,65552.0,0.7524713940997898,3.4806285559468977,0.7499062711374092,20.18,0.24740266045247106
006109,2011-03-31,IRF,460254105,INTL RECTIFIER CORP,296.717,296.717,160.553,77.413,38.075,-3.879,45.606,1590.601,0.4589019166411092,3.83290920129694,0.9058775999181148,33.06,0.2266811638540469
006304,2011-03-31,KLAC,482480100,KLA CORP,834.059,834.059,306.621,192.083,314.28,91.737,301.52,4449.343,0.6323749279127736,4.342180203349594,0.7251949770055122,47.32,0.7438025168357032
006509,2011-03-31,KLIC,501242101,KULICKE & SOFFA INDUSTRIES,206.729,206.729,105.761,51.939,44.632,1.899,41.784,666.815,0.4884075286969898,3.980226804520688,1.0196143031699472,9.35,0.3438097219152616
006529,2011-03-31,LSI.1,502161102,LSI CORP,473.264,473.264,193.083,211.214,12.96,-4.104,14.442,2354.874,0.5920184083302343,2.240684803090704,1.1523929047134198,,0.0012524541330987127
065643,2011-03-31,FCS,303726103,FAIRCHILD SEMICONDUCTOR INTL,413.0,413.0,228.3,92.0,54.6,7.3,50.8,1904.8,0.44721549636803876,4.489130434782608,0.9203530907061814,18.2,0.09259259259259256
006565,2011-03-31,LRCX,512807306,LAM RESEARCH CORP,809.087,809.087,416.892,177.023,196.996,16.419,198.659,3148.495,0.4847377352497321,4.570519085090638,0.9096715757023985,5.6659999999999995,0.27865725397976804
007346,2011-03-31,MSCC,595137100,MICROSEMI CORP,207.49,207.49,92.776,71.419,19.263,5.031,-14.098,1442.362,0.5528651983228108,2.9052493034066567,-1.8539634984430269,20.71,0.7551472702972475
109258,2011-03-31,GAI,G39320117,GLOBAL-TECH ADV INNOVATIONS,25.765,25.765,24.48,4.051,-2.766,-0.049,-2.688,119.936,0.04987385988744421,6.360157985682547,1.0102597191220237,6.78,0.19531431222454199
064853,2011-03-31,QRVO,74736K101,QORVO INC,213.326,213.326,122.598,62.074,13.447,-15.049,9.085,1025.393,0.42530211976036675,3.43664013918871,3.9319216026465633,,-0.18211061056263778
007469,2011-03-31,3ZARLF,989139100,ZARLINK SEMICONDUCTOR INC,54.763,54.763,25.149,23.018,4.107,-13.705,3.287,267.642,0.5407665759728284,2.3791380658614996,6.459067068146228,,-0.008509405608965626
016401,2011-03-31,CRUS,172755100,CIRRUS LOGIC INC,91.433,91.433,43.205,32.296,13.722,-116.514,13.892,496.621,0.5274682007590258,2.8310936338865496,9.27225655210791,21.03,0.45968166797043386
185517,2011-03-31,FSL,G3727Q101,FREESCALE SEMICONDUCTOR LTD,1194.0,1194.0,596.0,333.0,88.0,-3.0,-151.0,4097.0,0.5008375209380235,3.585585585585586,-0.571203017411517,,0.1705882352941177
182012,2011-03-31,GIG.2,37518Q109,GIGPEAK INC,7.662,7.662,3.351,4.916,-1.182,0.005,-3.437,26.812,0.5626468285043069,1.5585842148087876,0.3444048655338044,,0.45306277261520966
160888,2011-03-31,MPWR,609839105,MONOLITHIC POWER SYSTEMS INC,44.468,44.468,19.893,20.389,1.916,0.206,2.099,275.01,0.5526445983628677,2.1809799401638137,0.8232301004970493,14.19,-0.11506467661691533
160797,2011-03-31,IKAN,45173E204,IKANOS COMMUNICATIONS INC,31.672,31.672,13.345,19.801,-3.28,0.099,-1.964,86.104,0.5786499115938368,1.599515176001212,1.7542444240732369,11.399999999999999,-0.4480595298259067
160505,2011-03-31,VLTR,928708106,VOLTERRA SEMICONDUCTOR CORP,34.157,34.157,13.847,16.951,2.727,0.036,2.716,149.83,0.5946072547354861,2.0150433602737303,0.9907416043258626,24.83,-0.05885432452539063
144437,2011-03-31,PDFS,693282105,PDF SOLUTIONS INC,15.017,15.017,6.307,8.666,-0.294,0.096,-0.662,69.76,0.5800093227675301,1.7328640664666513,0.5085112403136153,6.65,-0.015407815368476352
160232,2011-03-31,NETL.1,64118B100,NETLOGIC MICROSYSTEMS INC,98.669,98.669,23.808,57.636,2.791,0.57,2.615,741.28,0.7587084089227619,1.7119335137761122,0.8346603102413273,,0.14397514231719044
160213,2011-03-31,GSIT,36241U106,GSI TECHNOLOGY INC,21.854,21.854,11.484,5.007,4.629,1.398,4.81,141.917,0.47451267502516703,4.364689434791292,0.682662505781009,9.09,0.028713989832423348
124599,2011-03-31,SIMG,82705T102,SILICON IMAGE INC,48.999,48.999,18.613,28.274,0.256,1.068,0.248,257.508,0.6201351047980571,1.7330055881728796,-3.413111342351717,8.96,0.4281675362149875
119493,2011-03-31,PLXT,693417107,PLX TECHNOLOGY INC,28.079,28.079,14.518,19.985,-6.424,0.021,-9.111,113.023,0.48295879482887566,1.405003752814611,0.7067069166013705,3.65,-0.02567750442416461
119275,2011-03-31,MKSI,55306N104,MKS INC,231.851,231.851,122.563,49.603,56.508,18.736,56.779,1049.319,0.47137169992797096,4.6741326129467975,0.6668209178218394,33.3,0.2065141596328175
119217,2011-03-31,VSEA,922207105,VARIAN SEMICONDUCTOR EQUIPMT,330.021,330.021,164.277,66.547,95.224,13.279,95.622,1137.923,0.5022225858354469,4.959216794145491,0.8575460683424033,48.67,0.6180910682153593
185784,2011-03-31,RDA,749394102,RDA MICROELECTRONCS INC -ADR,55.151,55.151,36.786,10.079,8.286,0.806,8.382,179.011,0.33299486863338834,5.471872209544598,0.8934897649409624,14.32,0.5410042191734892
001161,2011-03-31,AMD,007903107,ADVANCED MICRO DEVICES,1613.0,1613.0,814.0,628.0,83.0,2.0,512.0,5209.0,0.495350278983261,2.5684713375796178,0.16147613525390625,8.6,0.024777636594663255
